imagen,nombre,precio_soles,precio_dolares,link,stock
https://cyccomputer.pe/43000-home_default/ssd-500gb-3d-nand-go-wd-blue-m2-2280-pcie-pnwds500g2b0b.jpg,SSD 500GB 3D NAND GO WD BLUE M.2 2280 (PN:WDS500G2B0B),261.3,67.0,https://cyccomputer.pe/ssd-m2-2280-pcie/12133-ssd-500gb-3d-nand-go-wd-blue-m2-2280-pcie-pnwds500g2b0b.html,1
https://cyccomputer.pe/44675-home_default/ssd-1tb-wd-green-sata-6gbs-25-pnwds100t3g0a-00na50.jpg,"SSD 1TB WD GREEN SATA 6GB/s 2.5"" (PN:WDS100T3G0A-00NA50)",267.15,68.5,https://cyccomputer.pe/ssd-25-sata/22035-ssd-1tb-wd-green-sata-6gbs-25-pnwds100t3g0a-00na50.html,1
https://cyccomputer.pe/45063-home_default/ssd-1tb-kingston-nv2-m2-2280-nvme-pcie-gen4-pnsnv2s1000g.jpg,SSD 1TB KINGSTON NV2 M.2 2280 NVMe PCIe GEN4 (PN:SNV2S/1000G),271.05,69.5,https://cyccomputer.pe/ssd-m2-2280-pcie/22086-ssd-1tb-kingston-nv2-m2-2280-nvme-pcie-gen4-pnsnv2s1000g.html,10
https://cyccomputer.pe/44451-home_default/ssd-500gb-wd-blue-sa510-m2-2280-nvme-pcie-.jpg,SSD 500GB WD BLUE SA510 M.2 2280 NVMe PCIe,276.9,71.0,https://cyccomputer.pe/ssd-m2-2280-pcie/21924-ssd-500gb-wd-blue-sa510-m2-2280-nvme-pcie-.html,1
https://cyccomputer.pe/35733-home_default/ssd-256gb-viper-gaming-vpr100-rgb-nvme-m2-pcie-pnvpr100-256gm28h.jpg,SSD 256GB VIPER GAMING VPR100 RGB NVMe M.2 PCIe (PN:VPR100-256GM28H),282.75,72.5,https://cyccomputer.pe/ssd-m2-2280-pcie/18673-ssd-256gb-viper-gaming-vpr100-rgb-nvme-m2-pcie-pnvpr100-256gm28h.html,2
https://cyccomputer.pe/40558-home_default/ssd-512gb-hp-fx900-m2-2280-nvme-pci-e-gen-40-.jpg,SSD 512GB HP FX900 M.2 2280 NVMe PCI-E GEN 4.0,284.7,73.0,https://cyccomputer.pe/ssd-m2-2280-pcie/21175-ssd-512gb-hp-fx900-m2-2280-nvme-pci-e-gen-40-.html,6
https://cyccomputer.pe/42966-home_default/ssd-500gb-wd-black-sn770-m2-2280-nvme-pcie-pnwds500g3x0e-00b3n0-.jpg,SSD 500GB WD BLACK SN770 M.2 2280 NVMe PCIe (PN:WDS500G3X0E-00B3N0),288.6,74.0,https://cyccomputer.pe/ssd-m2-2280-pcie/14293-ssd-500gb-wd-black-sn770-m2-2280-nvme-pcie-pnwds500g3x0e-00b3n0-.html,1
https://cyccomputer.pe/42080-home_default/ssd-500gb-adata-swordfish-m2-2280-nvme-pcie-pnaswordfish-500g-c.jpg,SSD 500GB ADATA SWORDFISH M.2 2280 NVMe PCIe (PN:ASWORDFISH-500G-C),292.5,75.0,https://cyccomputer.pe/ssd-m2-2280-pcie/19922-ssd-500gb-adata-swordfish-m2-2280-nvme-pcie-pnaswordfish-500g-c.html,2
https://cyccomputer.pe/35525-home_default/ssd-512gb-patriot-p300-m2-2280-nvme-pcle-pnp300p512gm28.jpg,SSD 512GB PATRIOT P300 M.2 2280 NVMe PCle (PN:P300P512GM28),292.5,75.0,https://cyccomputer.pe/ssd-m2-2280-pcie/19923-ssd-512gb-patriot-p300-m2-2280-nvme-pcle-pnp300p512gm28.html,1
https://cyccomputer.pe/43232-home_default/placa-msi-a520m-a-pro-amd-ryzen-ddr4-am4-pn911-7c96-002.jpg,PLACA MSI A520M-A PRO AMD RYZEN DDR4 AM4 (PN:911-7C96-002),300.3,77.0,https://cyccomputer.pe/socket-am4-ryzen/16936-placa-msi-a520m-a-pro-amd-ryzen-ddr4-am4-pn911-7c96-002.html,1
https://cyccomputer.pe/30557-home_default/ssd-250gb-t-force-delta-max-rgb-sata3-25-pnt253tm250g3c302.jpg,"SSD 250GB T-FORCE DELTA MAX RGB SATA3 2.5"" (PN:T253TM250G3C302)",312.0,80.0,https://cyccomputer.pe/ssd-25-sata/15530-ssd-250gb-t-force-delta-max-rgb-sata3-25-pnt253tm250g3c302.html,2
